horizon,name,grew_1dollar_to,cagr,volatility,sharpe,sortino,calmar,max_drawdown,info_ratio_vs_sp
full (1928+),Buy & Hold 1x,13020.989530849005,0.10138792307696165,0.1892142662267489,0.39525416852051193,0.5600640680808391,0.1209099805168695,-0.8385405625205264,
full (1928+),MA200 -> Cash,33089.52776355567,0.11286568418712695,0.12627862735380427,0.5952624110132476,0.8407945836249544,0.24424848416275552,-0.4620936935351404,0.014270679896666517
full (1928+),Lev 1.5x above->cash,140933.69214630337,0.1295604186786663,0.18941187592500228,0.5283316699519657,0.7441736292300098,0.20550162003870387,-0.63045935430711,0.1738936408957144
full (1928+),Lev 2x above->cash,1023603.066643947,0.1528106994783891,0.25255278801718634,0.5325955322510247,0.750330324293426,0.20357203544707425,-0.7506468122833976,0.32371589307768184
full (1928+),Lev 3x above->cash,16337433.079810224,0.18609681688228363,0.3788362370599863,0.536859348338314,0.7564894117493449,0.20757650126195876,-0.8965215992701985,0.4499701869576721
full (1928+),Lev 4x above->cash,51152521.69575978,0.2000894197320633,0.5051204984952672,0.5389912389424691,0.7595698527713872,0.20460927072155446,-0.9779098426305323,0.4924067878119562
last 50y,Buy & Hold 1x,256.6600717847546,0.11739389884308515,0.17412791609968523,0.48914042175691574,0.6852826033063948,0.2124767178753076,-0.5525024106969593,
last 50y,MA200 -> Cash,189.3675490056328,0.11061668121261592,0.11714359318862994,0.6036918987622393,0.8456554492633427,0.5382672528265466,-0.2055051289703137,-0.11217136183884105
last 50y,Lev 1.5x above->cash,365.852587831409,0.12534704376364814,0.1757139622936936,0.5265014503495411,0.7350534097494844,0.36140389769368897,-0.3468336798898808,0.05186693674760229
last 50y,Lev 2x above->cash,988.6336387643976,0.1479540041186751,0.23428836045645052,0.5314002514052063,0.7420710960019293,0.31567874116365563,-0.46868535896109675,0.22584315321318915
last 50y,Lev 3x above->cash,4272.058297009559,0.1820655743517856,0.35144020710939683,0.5362990042945748,0.749092069123652,0.2756512360623474,-0.6604925011495526,0.38633941392273324
last 50y,Lev 4x above->cash,9100.872782182034,0.20008800413687045,0.46859357884702113,0.5387483625471605,0.7526037886151202,0.25228533532900693,-0.7931020004628266,0.44688146578480137
last 30y,Buy & Hold 1x,19.12847103058855,0.10363290020844129,0.19130101791288465,0.4960131893352677,0.7006733324397787,0.18757004169033878,-0.552502410696959,
last 30y,MA200 -> Cash,14.04675008881887,0.09230475279597017,0.12100083099228116,0.6081111114337713,0.8404124038367905,0.44916033608730066,-0.2055051289703137,-0.14374836849535572
last 30y,Lev 1.5x above->cash,21.222612937839845,0.10747053731426948,0.18151137914907717,0.5320915637932013,0.7329537344969368,0.30986188350679006,-0.34683367988988056,0.010582562253512885
last 30y,Lev 2x above->cash,39.08119887976856,0.1302961391123698,0.24201642923786787,0.5367916689515004,0.7395945152066649,0.2780034336920364,-0.46868535896109775,0.18303139147157904
last 30y,Lev 3x above->cash,94.6380623723483,0.1641959020723489,0.3630276152057334,0.5414917275624548,0.7462382026062192,0.24859616390280642,-0.6604925011495533,0.35826582601407037
last 30y,Lev 4x above->cash,145.42552620425712,0.18102766058787,0.48403934405813964,0.5438417392935794,0.7495611365964225,0.22825268437379875,-0.7931020004628269,0.4292902569168039
last 15y,Buy & Hold 1x,7.681568119199542,0.1460465923383476,0.17318073639572107,0.7860818151706519,1.1057359132220388,0.43221245450491996,-0.33790463651871727,
last 15y,MA200 -> Cash,4.682571334724126,0.10873923479896885,0.11750849238920023,0.8076985592609615,1.1060266093636646,0.6053206258426043,-0.17963907086034647,-0.32373172699776404
last 15y,Lev 1.5x above->cash,6.785106951140107,0.13657711938415384,0.17627624011723692,0.7284756587130145,0.9942392365527899,0.47855921204588947,-0.28539231080783656,-0.05503290301513177
last 15y,Lev 2x above->cash,10.922011283067501,0.1733354628996553,0.2350348694115309,0.7337975212431643,1.001736421038145,0.46818158152008277,-0.37023127295369695,0.20964111622569032
last 15y,Lev 3x above->cash,24.131582991742825,0.23720423178247807,0.35255305804248394,0.7391193337413398,1.0092369973597888,0.46076027165263267,-0.5148105129196261,0.4654041341165898
last 15y,Lev 4x above->cash,42.98862814059075,0.2859024987795302,0.47007171169251677,0.7417802211219797,1.0129885577580766,0.453630020584709,-0.6302548019441362,0.5669122063424976
