name,window,leverage,cagr,sharpe,max_drawdown,calmar,beats_cagr,beats_sharpe,beats_calmar,beats_maxdd,beats_all
Lev 1.25x below (50d),50.0,1.25,0.11574257431253265,0.49363745085353494,-0.6150994028970735,0.18816889395013803,True,False,False,False,False
Lev 1.5x below (50d),50.0,1.5,0.12012736338705232,0.47530415092689454,-0.6820052113955258,0.17613848307881183,True,False,False,False,False
Lev 2x below (50d),50.0,2.0,0.12469244344903507,0.44542100720224365,-0.8131748015954573,0.1533402697727318,True,False,False,False,False
Lev 2.5x below (50d),50.0,2.5,0.12354316306092228,0.42341757155318566,-0.8990525002555272,0.13741484843856064,True,False,False,False,False
Lev 3x below (50d),50.0,3.0,0.11660172461419238,0.4069968839805044,-0.9499092237730336,0.12275038676964421,True,False,False,False,False
Lev 1.25x below (100d),100.0,1.25,0.11593584383013389,0.4967000794657977,-0.6401906328039826,0.18109581410515863,True,False,False,False,False
Lev 1.5x below (100d),100.0,1.5,0.1182070469748322,0.47079345278687396,-0.711136352672266,0.166222759574364,True,False,False,False,False
Lev 2x below (100d),100.0,2.0,0.11869656485075031,0.4299632490372446,-0.820792772477059,0.14461209799952016,True,False,False,False,False
Lev 2.5x below (100d),100.0,2.5,0.11372416018980269,0.40059849645804596,-0.8980732520066139,0.1266312741590985,True,False,False,False,False
Lev 3x below (100d),100.0,3.0,0.10326708407698892,0.3789659141345286,-0.9496256565339201,0.10874504428819662,False,False,False,False,False
Lev 1.25x below (150d),150.0,1.25,0.11261027877568242,0.48415939518088397,-0.6378461847781822,0.17654770297770744,False,False,False,False,False
Lev 1.5x below (150d),150.0,1.5,0.11295440226948239,0.45304772124750387,-0.7071020544046602,0.15974271544803187,False,False,False,False,False
Lev 2x below (150d),150.0,2.0,0.10973663225228436,0.40470478202221044,-0.8377784410567429,0.13098526635976285,False,False,False,False,False
Lev 2.5x below (150d),150.0,2.5,0.10129627012303888,0.37029913271547626,-0.9188993026428515,0.11023652954322645,False,False,False,False,False
Lev 3x below (150d),150.0,3.0,0.08765830018765586,0.3451072365527944,-0.9629648617465363,0.09102959377839537,False,False,False,False,False
Lev 1.25x below (200d),200.0,1.25,0.11000248371306909,0.4741373318696821,-0.6424607513603467,0.1712205507965269,False,False,False,False,False
Lev 1.5x below (200d),200.0,1.5,0.10758253818020336,0.4339435929743214,-0.7230743276991821,0.14878489535443792,False,False,False,False,False
Lev 2x below (200d),200.0,2.0,0.0989585614322206,0.37280438735821986,-0.8590935882311701,0.11518950064098514,False,False,False,False,False
Lev 2.5x below (200d),200.0,2.5,0.08533551684942031,0.33003068614590975,-0.934443272162267,0.0913223085784085,False,False,False,False,False
Lev 3x below (200d),200.0,3.0,0.06680820999899195,0.29903414880999923,-0.9721558079798926,0.06872171050216444,False,False,False,False,False
Lev 1.25x below (210d),210.0,1.25,0.11093384835619391,0.4784934533971551,-0.6400833677677322,0.17331156212209,False,False,False,False,False
Lev 1.5x below (210d),210.0,1.5,0.10963205815239196,0.4421347321137291,-0.7167086774269884,0.1529659980481543,False,False,False,False,False
Lev 2x below (210d),210.0,2.0,0.10322765600534911,0.38621949880337114,-0.8525611562430403,0.12107947359487947,False,False,False,False,False
Lev 2.5x below (210d),210.0,2.5,0.09177643111610756,0.34674579189270943,-0.9298317710643558,0.09870218890354039,False,False,False,False,False
Lev 3x below (210d),210.0,3.0,0.07534291399281412,0.31798526510656466,-0.9695118005934587,0.07771221964157128,False,False,False,False,False
Lev 1.25x below (250d),250.0,1.25,0.1111349512911548,0.4812432951097458,-0.6384035366166971,0.17408260593312028,False,False,False,False,False
Lev 1.5x below (250d),250.0,1.5,0.10947227635559043,0.4437412769889595,-0.7274206502732066,0.15049377044008105,False,False,False,False,False
Lev 2x below (250d),250.0,2.0,0.10248264198724599,0.3855818964011762,-0.8635513006760964,0.11867580062355265,False,False,False,False,False
Lev 2.5x below (250d),250.0,2.5,0.09063219496083486,0.34423024179138356,-0.9375081231356556,0.0966735036467738,False,False,False,False,False
Lev 3x below (250d),250.0,3.0,0.0739861266349251,0.31397971225995547,-0.973856666353517,0.07597229570954911,False,False,False,False,False
Lev 1.25x below (252d),252.0,1.25,0.1115298736586241,0.4831259424825598,-0.6384035366166967,0.17470121523713872,False,False,False,False,False
Lev 1.5x below (252d),252.0,1.5,0.11050504731811372,0.4479335473554905,-0.7253679057863676,0.152343447285989,False,False,False,False,False
Lev 2x below (252d),252.0,2.0,0.10479238703073013,0.3929215892091149,-0.8614845720957468,0.1216416293745111,False,False,False,False,False
Lev 2.5x below (252d),252.0,2.5,0.09420658596548392,0.35355322050519833,-0.9360780140300414,0.10063967378092972,False,False,False,False,False
Lev 3x below (252d),252.0,3.0,0.07879581711986883,0.32464203272846226,-0.9730528001380526,0.08097794601556012,False,False,False,False,False
