strategy,cost_scenario,window,leverage,name,cagr,volatility,sharpe,sortino,max_drawdown,calmar,total_return,n_switches,years
buy_and_hold,gross (0 cost),,1.0,Buy & Hold 1x,0.11465618629462093,0.17866096023688144,0.5355753750929946,0.7566393533928132,-0.5525024106969596,0.20752160366139716,63.65815173514095,0,38.40873015873016
ma_to_cash,gross (0 cost),50.0,0.0,MA->Cash (50d),0.06681779276562838,0.10939742104200333,0.38356528857526173,0.524753934624279,-0.35431433636606435,0.18858337331457775,10.842648913654019,652,38.214285714285715
leveraged_bad_market,gross (0 cost),50.0,1.0,Lev 1x below (50d),0.11389900524847985,0.17835819794953917,0.5331200668564969,0.7539916446582948,-0.5525024106969596,0.2061511462091194,60.684976153166524,0,38.214285714285715
leveraged_bad_market,gross (0 cost),50.0,1.25,Lev 1.25x below (50d),0.12491995957742441,0.20732014016246247,0.5331354187550099,0.7585981960697435,-0.6076519824087956,0.2055781322101982,88.86204371839372,652,38.214285714285715
leveraged_bad_market,gross (0 cost),50.0,1.5,Lev 1.5x below (50d),0.13462914372602408,0.23798223714972255,0.5293381940809159,0.7564378945958289,-0.6600635851742317,0.20396390097855058,123.79693705816243,652,38.214285714285715
leveraged_bad_market,gross (0 cost),50.0,2.0,Lev 2x below (50d),0.14994789898261862,0.3023162043031716,0.5188602561082248,0.7454288159666027,-0.7643089134594528,0.1961875575988209,207.3400189656925,652,38.214285714285715
leveraged_bad_market,gross (0 cost),50.0,2.5,Lev 2.5x below (50d),0.15955863533058645,0.3689041519585781,0.5089307387465449,0.7333424030730037,-0.8598563123777818,0.1855643007252631,285.3519600568672,652,38.214285714285715
leveraged_bad_market,gross (0 cost),50.0,3.0,Lev 3x below (50d),0.16321855615317427,0.43671627293105175,0.5006304829134056,0.7226863979626855,-0.9234655801670499,0.17674568458052212,321.99849944085327,652,38.214285714285715
ma_to_cash,gross (0 cost),100.0,0.0,MA->Cash (100d),0.08090602541964032,0.11302813046739521,0.49222476755189587,0.6789602231024464,-0.46830230151066743,0.17276452658603336,18.252093064135387,425,38.01587301587302
leveraged_bad_market,gross (0 cost),100.0,1.0,Lev 1x below (100d),0.11575741379546733,0.17838531292446236,0.5432698026097169,0.7689903964622297,-0.5525024106969596,0.2095147669119561,63.32899452324935,0,38.01587301587302
leveraged_bad_market,gross (0 cost),100.0,1.25,Lev 1.25x below (100d),0.12323400126605644,0.20625738623226525,0.5282881752171869,0.7515891414500672,-0.6337673042688401,0.1944467637191037,81.9220996505108,425,38.01587301587302
leveraged_bad_market,gross (0 cost),100.0,1.5,Lev 1.5x below (100d),0.12940256543747308,0.23589603516269733,0.5130020569045618,0.7325175042994774,-0.7040142135924208,0.18380675125458318,101.11560756112195,425,38.01587301587302
leveraged_bad_market,gross (0 cost),100.0,2.0,Lev 2x below (100d),0.13770551217506544,0.2983432939273673,0.48641445684836265,0.6977652298976181,-0.8139057406451954,0.16919098281074194,133.90378293419744,425,38.01587301587302
leveraged_bad_market,gross (0 cost),100.0,2.5,Lev 2.5x below (100d),0.140477493068758,0.3631895713604828,0.46593200438683285,0.6701296485270505,-0.8889104214205409,0.15803335148694192,146.97946815197773,425,38.01587301587302
leveraged_bad_market,gross (0 cost),100.0,3.0,Lev 3x below (100d),0.13758136351769545,0.4293492407658591,0.4502738065017138,0.6486437692371977,-0.937131108267943,0.14681122236138427,133.345281344079,425,38.01587301587302
ma_to_cash,gross (0 cost),150.0,0.0,MA->Cash (150d),0.08883572516043525,0.11577807823984482,0.5480252816160422,0.7570163758191297,-0.2869233663705978,0.3096148155660933,23.993245271416363,332,37.817460317460316
leveraged_bad_market,gross (0 cost),150.0,1.0,Lev 1x below (150d),0.11414044290695724,0.17844842190015694,0.5360483051175327,0.758134986978637,-0.5525024106969596,0.2065881355394878,58.58669393596498,0,37.817460317460316
leveraged_bad_market,gross (0 cost),150.0,1.25,Lev 1.25x below (150d),0.11896328688134195,0.20548063361891353,0.5118590887868257,0.7274328823966454,-0.6306590194003587,0.18863329187689135,69.160229467825,332,37.817460317460316
leveraged_bad_market,gross (0 cost),150.0,1.5,Lev 1.5x below (150d),0.12250014599749348,0.2343256462680139,0.4894779104181213,0.698084229644191,-0.6990106664131779,0.17524789231912083,78.05374044552629,332,37.817460317460316
leveraged_bad_market,gross (0 cost),150.0,2.0,Lev 2x below (150d),0.12564472527321313,0.29530364455939595,0.4528807546337935,0.6487999899471889,-0.8076679076316529,0.15556483560383705,86.87557070851929,332,37.817460317460316
leveraged_bad_market,gross (0 cost),150.0,2.5,Lev 2.5x below (150d),0.12346179987201555,0.35879108301639207,0.42581158470204217,0.6115857389131402,-0.8905367010793207,0.13863752018572756,80.65577108349606,332,37.817460317460316
leveraged_bad_market,gross (0 cost),150.0,3.0,Lev 3x below (150d),0.1158873039768451,0.42366130904882354,0.4055537819960911,0.5834066212576255,-0.9455293902122758,0.12256340752224303,62.22373997927121,332,37.817460317460316
ma_to_cash,gross (0 cost),200.0,0.0,MA->Cash (200d),0.10174120701767153,0.11760991542660697,0.643382787792525,0.8932241802352276,-0.20550512897031337,0.4950786752985068,37.28196452835184,224,37.61904761904762
leveraged_bad_market,gross (0 cost),200.0,1.0,Lev 1x below (200d),0.11418137437284592,0.17867831252249128,0.5370082601494074,0.7593741357233322,-0.5525024106969594,0.20666221931739764,57.40311584211617,0,37.61904761904762
leveraged_bad_market,gross (0 cost),200.0,1.25,Lev 1.25x below (200d),0.11558424826473046,0.20520259966417026,0.4985887289586116,0.7078164263503796,-0.6355852931971643,0.1818548187031055,60.2342004500238,224,37.61904761904762
leveraged_bad_market,gross (0 cost),200.0,1.5,Lev 1.5x below (200d),0.11571418754469875,0.23356816024079372,0.4652675996729631,0.6624235494825428,-0.7070059537468828,0.16366791104297534,60.503085349042856,224,37.61904761904762
leveraged_bad_market,gross (0 cost),200.0,2.0,Lev 2x below (200d),0.11213131081780547,0.2936621795461578,0.41337205435709634,0.5907283856641895,-0.8303141140956671,0.13504685626105825,53.49382841507657,224,37.61904761904762
leveraged_bad_market,gross (0 cost),200.0,2.5,Lev 2.5x below (200d),0.10341405080827637,0.35633707359532113,0.37636226602189804,0.5389901773663663,-0.9151279524672624,0.11300501807366209,39.53050738004478,224,37.61904761904762
leveraged_bad_market,gross (0 cost),200.0,3.0,Lev 3x below (200d),0.08958976965038778,0.4204402317170676,0.3492338192834151,0.5007995441597094,-0.9612413761717095,0.09320215699327543,24.22314334193188,224,37.61904761904762
ma_to_cash,gross (0 cost),210.0,0.0,MA->Cash (210d),0.0971970707016554,0.1178331072445819,0.6076884324180704,0.8411781639109297,-0.23483960304999718,0.4138870507329303,31.649096921503933,220,37.57936507936508
leveraged_bad_market,gross (0 cost),210.0,1.0,Lev 1x below (210d),0.11396437216944211,0.17870396442732733,0.536122341970275,0.7580442001113392,-0.5525024106969593,0.20626945686206274,56.728960058849836,0,37.57936507936508
leveraged_bad_market,gross (0 cost),210.0,1.25,Lev 1.25x below (210d),0.11642412402572999,0.20516737263421644,0.5025296172954195,0.7137420872226176,-0.6332659011020958,0.18384713881343182,61.717888665047234,220,37.57936507936508
leveraged_bad_market,gross (0 cost),210.0,1.5,Lev 1.5x below (210d),0.11761553499064892,0.23347562668639368,0.4728467445215991,0.6738051284224682,-0.7032593939061336,0.16724346096164264,64.28281208155929,220,37.57936507936508
leveraged_bad_market,gross (0 cost),210.0,2.0,Lev 2x below (210d),0.11615499289754982,0.2934643485957649,0.4259094891493321,0.6094984434704785,-0.8230714630068763,0.14112382474446136,61.15222011524972,220,37.57936507936508
leveraged_bad_market,gross (0 cost),210.0,2.5,Lev 2.5x below (210d),0.10953490295708623,0.3560427977398793,0.3920325126599836,0.5623844510878586,-0.909628113904705,0.12041723566226692,48.701435868155855,220,37.57936507936508
leveraged_bad_market,gross (0 cost),210.0,3.0,Lev 3x below (210d),0.09775317645813297,0.420055136897189,0.3670267688957153,0.5273012211651092,-0.9578776791212174,0.10205183666855497,32.27675742619653,220,37.57936507936508
ma_to_cash,gross (0 cost),250.0,0.0,MA->Cash (250d),0.10017326059756604,0.12082318070762328,0.6197223464961122,0.8600570241336367,-0.2326780009199666,0.43052312724666336,34.60411029980383,192,37.42063492063492
leveraged_bad_market,gross (0 cost),250.0,1.0,Lev 1x below (250d),0.11443812670121112,0.17894301893582168,0.5391548170374537,0.7624665700626296,-0.5525024106969596,0.20712692738634755,56.658582183750916,0,37.42063492063492
leveraged_bad_market,gross (0 cost),250.0,1.25,Lev 1.25x below (250d),0.11622078897556842,0.20451268921364965,0.5035800623898303,0.715147818394041,-0.6317372988985381,0.18397012362291176,60.212386513062896,192,37.42063492063492
leveraged_bad_market,gross (0 cost),250.0,1.5,Lev 1.5x below (250d),0.11677766842722481,0.2319703820761084,0.4720392355917298,0.6724569141078576,-0.70076241582907,0.16664373800507765,61.36560730602987,192,37.42063492063492
leveraged_bad_market,gross (0 cost),250.0,2.0,Lev 2x below (250d),0.1141846825731394,0.2903787882157044,0.4219334125643979,0.6035304258449501,-0.8392414959662335,0.13605700280784683,56.16992541908405,192,37.42063492063492
leveraged_bad_market,gross (0 cost),250.0,2.5,Lev 2.5x below (250d),0.10662644071623872,0.3514958769048671,0.3856148680781404,0.5528852986466662,-0.9216671796959782,0.1156886597083891,43.31461214708122,192,37.42063492063492
leveraged_bad_market,gross (0 cost),250.0,3.0,Lev 3x below (250d),0.09411132206212303,0.41412412471025817,0.35874178361172887,0.5151082538864434,-0.9651303936175326,0.0975115100347964,27.95386786012158,192,37.42063492063492
ma_to_cash,gross (0 cost),252.0,0.0,MA->Cash (252d),0.09731639895497635,0.12108413464098491,0.5972641844356216,0.8273159252420718,-0.2747840637100615,0.35415590569931954,31.279297459186694,202,37.41269841269841
leveraged_bad_market,gross (0 cost),252.0,1.0,Lev 1x below (252d),0.11418391783599957,0.17895720793213638,0.5379104237783457,0.7606874471270758,-0.5525024106969597,0.20666682285053042,56.11942112531259,0,37.41269841269841
